id,common_name,scientific_name,cycle,watering,sunlight
592,yellow giant hyssop,Agastache nepetoides,Herbaceous Perennial,Average,"full sun, part sun/part shade"
593,giant hyssop,Agastache 'Pink Pop',Herbaceous Perennial,Average,full sun
594,giant hyssop,Agastache 'Purple Haze',Herbaceous Perennial,Average,full sun
595,giant hyssop,Agastache 'Raspberry Summer',Herbaceous Perennial,Average,full sun
596,purple giant hyssop,Agastache rugosa 'Golden Jubilee',Herbaceous Perennial,Average,"full sun, part shade"
597,giant hyssop,Agastache rugosa 'Honey Bee Blue',Herbaceous Perennial,Average,"full sun, part shade"
598,threadleaf giant hyssop,Agastache rupestris,Herbaceous Perennial,Average,"full sun, part shade"
599,threadleaf giant hyssop,Agastache rupestris 'Apache Sunset',Herbaceous Perennial,Average,"full sun, part shade"
600,giant hyssop,Agastache 'Summer Breeze',Herbaceous Perennial,Frequent,full sun
601,giant hyssop,Agastache SUMMER GLOW,Herbaceous Perennial,Average,full sun
602,giant hyssop,Agastache 'Summer Love',Herbaceous Perennial,Average,Full sun
603,giant hyssop,Agastache 'TNAGAPBY' POQUITO BUTTER YELLOW,Herbaceous Perennial,Average,full sun
604,giant hyssop,Agastache 'Tutti-frutti',Herbaceous Perennial,Average,full sun
605,hummingbird's mint,Agastache 'Violet Vision',Herbaceous Perennial,Average,full sun
606,American century plant,Agave americana,Herbaceous Perennial,Minimum,"full sun, sheltered"
607,century plant,Agave attenuata,Herbaceous Perennial,Minimum,"full sun, part shade"
608,century plant,Agave 'Blue Glow',Herbaceous Perennial,Average,full sun
609,spineless jade agave,Agave desmetiana,Herbaceous Perennial,Average,"full sun, part shade"
610,agave,Agave geminiflora RASTA MAN,Herbaceous Perennial,Minimum,full sun
611,century plant,Agave havardiana,Herbaceous Perennial,Minimum,full sun
612,whale's tongue agave,Agave ovatifolia,Herbaceous Perennial,Minimum,full sun
613,Parry's agave,Agave parryi,Herbaceous Perennial,Minimum,full sun
614,century plant,Agave schidigera,Herbaceous Perennial,Average,full sun
615,century plant,Agave schidigera 'Shira-ito-no-ohi',Herbaceous Perennial,Average,full sun
616,coastal agave,Agave shawii,Herbaceous Perennial,Average,full sun
617,century plant,Agave univittata 'Splendida',Herbaceous Perennial,Minimum,full sun
618,century plant,Agave victoriae-reginae,Herbaceous Perennial,Minimum,full sun
619,white snakeroot,Ageratina altissima,Herbaceous Perennial,Average,"full sun, part shade"
620,white snakeroot,Ageratina altissima 'Chocolate',Herbaceous Perennial,Frequent,"full sun, part shade"
621,floss flower,Ageratum houstonianum,Annual,Average,"part sun/part shade, full sun"
622,floss flower,Ageratum houstonianum 'Blue Horizon',Annual,Average,"part sun/part shade, full sun"
623,chu-lan tree,Aglaia edulis,Perennial,Average,full sun
624,chu-lan tree,Aglaia odorata,Perennial,Average,"full sun, part shade"
625,Philippine evergreen,Aglaonema commutatum,Herbaceous Perennial,Average,"part shade, full shade"
626,Chinese evegreen,Aglaonema 'Cutlass',Herbaceous Perennial,Average,"part shade, full shade"
627,Chinese evergreen,Aglaonema 'Red Gold',Herbaceous Perennial,Average,"part sun/part shade, part shade"
628,Chinese evergreen,Aglaonema 'Silver Queen',Herbaceous Perennial,Average,"part shade, full shade"
629,creeping bent grass,Agrostis palustris NO MOW,Perennial,Average,"full sun, part sun/part shade"
630,cloud grass,Agrostis palustris 'Pennlinks',Perennial,Average,"full sun, part sun/part shade"
631,tree of Heaven,Ailanthus altissima,Perennial,Minimum,"full sun, part sun/part shade"
632,ajania,Ajania pacifica,Herbaceous Perennial,Average,"full sun, part shade"
633,ajania,Ajania pacifica 'Pink Ice',Herbaceous Perennial,Average,"full sun, part shade"
634,common bugle,Ajuga reptans,Herbaceous Perennial,Average,part sun/part shade
635,bugleweed,Ajuga reptans 'Arctic Fox',Herbaceous Perennial,Average,"full sun, part sun/part shade"
636,bugleweed,Ajuga reptans 'Atropurpurea',Herbaceous Perennial,Average,"part sun/part shade, filtered shade"
637,bugleweed,Ajuga reptans 'Binblasca' BLACK SCALLOP,Herbaceous Perennial,Average,"part sun/part shade, part shade"
638,bugleweed,Ajuga reptans 'Braunherz',Herbaceous Perennial,Average,"full sun, part sun/part shade"
639,bugleweed,Ajuga reptans 'Burgundy Glow',Herbaceous Perennial,Average,"part sun/part shade, full sun"
640,bugleweed,Ajuga reptans 'Catlin's Giant',Herbaceous Perennial,Average,"full sun, part sun/part shade"
641,bugleweed,Ajuga reptans 'Dixie Chip',Herbaceous Perennial,Frequent,"part sun/part shade, full sun"
642,bugleweed,Ajuga reptans 'Mahogany',Herbaceous Perennial,Average,"part sun/part shade, full sun"
643,bugleweed,Ajuga reptans 'Purple Brocade',Herbaceous Perennial,Average,"full sun, part sun/part shade"
644,bugleweed,Ajuga reptans 'Purple Torch',Herbaceous Perennial,Average,"full sun, part sun/part shade"
645,bugleweed,Ajuga reptans 'Silver Beauty',Herbaceous Perennial,Average,"full sun, part sun/part shade"
646,bugleweed,Ajuga reptans 'Toffee Chip',Herbaceous Perennial,Average,"full sun, part sun/part shade"
647,bugleweed,Ajuga reptans 'Valfredda' CHOCOLATE CHIP,Herbaceous Perennial,Average,"full sun, part sun/part shade"
648,bugleweed,Ajuga 'Sparkler',Herbaceous Perennial,Average,"part shade, part sun/part shade"
649,chocolate vine,Akebia quinata,Perennial,Frequent,"full sun, part shade"
650,alangium,Alangium platanifolium,Perennial,Average,full sun
651,alangium,Alangium platanifolium var. macrophyllum,Perennial,Minimum,"full sun, part shade"
652,rain tree,Albizia saman,Perennial,Average,"full sun, part sun/part shade"
653,hollyhock,Alcea rosea,Herbaceous Perennial,Average,"full sun, part shade"
654,hollyhock,Alcea rosea 'Nigra',Herbaceous Perennial,Average,"full sun, part shade"
655,hollyhock,Alcea rosea (single),Herbaceous Perennial,Average,"full sun, part shade"
656,hollyhock,Alcea rugosa,Herbaceous Perennial,Average,part sun/part shade
657,lady's mantle,Alchemilla mollis,Herbaceous Perennial,Average,"part sun/part shade, filtered shade"
658,lady's mantle,Alchemilla mollis 'Thriller',Herbaceous Perennial,Average,"full sun, part shade"
659,silky lady's mantle,Alchemilla sericata 'Gold Strike',Herbaceous Perennial,Average,"full sun, part shade"
660,tung-oil tree,Aleurites fordii,Perennial,Average,full sun
661,northern water plantain,Alisma triviale,Herbaceous Perennial,Frequent,"full sun, part sun/part shade"
662,bush allamanda,Allamanda schottii,Perennial,Frequent,"full sun, part sun/part shade"
663,onion,Allium altaicum,Perennial,Average,full sun
664,ornamental onion,Allium 'Ambassador',Perennial,Average,"full sun, part sun/part shade"
665,leek,Allium ampeloprasum,Herbaceous Perennial,Average,"full sun, part shade"
666,wild leek,Allium babingtonii,Perennial,Average,"full sun, part sun/part shade"
667,onion,Allium cepa,Perennial,Average,full sun
668,nodding onion,Allium cernuum,Perennial,Average,"full sun, part sun/part shade"
669,chives,Allium 'Chivette',Perennial,Average,"full sun, part shade"
670,star of Persia,Allium cristophii,Perennial,Average,full sun
671,scallion,Allium fistulosum,Perennial,Frequent,full sun
672,ornamental onion,Allium 'Forelock',Perennial,Average,full sun
673,ornamental onion,Allium 'Globemaster',Perennial,Average,full sun
674,Hooker's onion,Allium hookeri var. muliense,Perennial,Average,"full sun, part shade"
675,ornamental onion,Allium karataviense,Perennial,Average,full sun
676,allium,Allium kunthianum,Perennial,Average,full sun
677,ornamental onion,Allium 'Lavender Bubbles',Perennial,Average,"full sun, part shade"
678,German garlic,Allium lusitanicum,Perennial,Average,full sun
679,ornamental onion,Allium 'Millenium',Perennial,Average,"full sun, part shade"
680,golden garlic,Allium moly,Perennial,Average,"full sun, part shade"
681,ornamental onion,Allium 'Purple Sensation',Perennial,Average,full sun
682,garlic,Allium sativum 'Inchelium Red',Perennial,Average,full sun
683,garlic,Allium sativum 'Music',Perennial,Average,full sun
684,garlic,Allium sativum 'Spanish Roja',Perennial,Average,full sun
685,chives,Allium schoenoprasum,Perennial,Frequent,"full sun, part shade"
686,chives,Allium schoenoprasum 'Snowcap',Perennial,Average,"full sun, part shade"
687,ornamental onion,Allium schubertii,Perennial,Average,"full sun, part sun/part shade"
688,German garlic,Allium senescens,Perennial,Average,"full sun, part shade"
689,German garlic,Allium senescens 'Blue Eddy',Perennial,Average,"full sun, part shade"
690,German garlic,Allium senescens 'Blue Twister',Perennial,Average,"full sun, part shade"
691,German garlic,Allium senescens subsp. glaucum,Perennial,Average,"full sun, part shade"
692,ornamental onion,Allium 'Serendipity',Perennial,Minimum,"full sun, part shade"
693,round-headed leek,Allium sphaerocephalon,Perennial,Average,full sun
694,prairie onion,Allium stellatum,Perennial,Minimum,full sun
695,ornamental onion,Allium 'Sugar Melt',Perennial,Average,"full sun, part shade"
696,ornamental onion,Allium thunbergii 'Ozawa',Herbaceous Perennial,Average,"full sun, part shade"
697,garlic chives,Allium tuberosum,Perennial,Average,"full sun, part shade"
698,wild garlic,Allium ursinum,Perennial,Average,"full sun, part shade"
699,alluaudia,Alluaudia dumosa,Perennial,Frequent,"full sun, part shade"
700,alluaudia,Alluaudia humbertii,Perennial,Average,"full sun, part shade"
701,Italian alder,Alnus cordata,Perennial,Minimum,"part shade, part sun/part shade"
702,European alder,Alnus glutinosa,Perennial,Average,"full sun, part shade"
703,grey alder,Alnus incana,Perennial,Frequent,"Sun,  Partial Shade"
704,hazel alder,Alnus incana subsp. rugosa,Perennial,Frequent,full sun
705,Japanese alder,Alnus japonica,Perennial,Frequent,"full sun, part shade"
706,seaside alder,Alnus maritima,Perennial,Average,"full sun, part shade"
707,seaside alder,Alnus maritima subsp. oklahomensis 'September Sun',Perennial,Average,"full sun, part shade"
708,alder,Alnus mayrii,Perennial,Average,"full sun, part shade"
709,hazel alder,Alnus serrulata,Perennial,Average,full sun
710,elephant's ear,Alocasia amazonica,Perennial,Average,"part shade, part sun/part shade"
711,Amazonian elephant's ear,Alocasia amazonica 'Polly',Perennial,Frequent,part shade
712,elephant's ear,Alocasia 'Frydek',Perennial,Average,part shade
713,elephant's ear,Alocasia (group),Perennial,Average,"full sun, part shade"
714,elephant's ear,Alocasia LOW RIDER,Perennial,Average,"full sun, part shade"
715,giant elephant's ear,Alocasia macrorrhizos,Perennial,Average,part shade
716,elephant's ear,Alocasia 'Metalhead',Perennial,Average,"full sun, part shade"
717,elephant's ear,Alocasia 'Portora',Perennial,Average,"full sun, part shade"
718,elephant's ear,Alocasia 'Sarian',Perennial,Average,part sun/part shade
719,torch plant,Aloe aristata,Perennial,Average,"full sun, part shade"
720,Cape aloe,Aloe ferox,Herbaceous Perennial,Average,full sun
721,aloe,Aloe harlana,Herbaceous Perennial,Minimum,"part shade, part sun/part shade"
722,Karoo aloe,Aloe longistyla,Herbaceous Perennial,Average,"full sun, part shade"
723,large Chimanimani aloe,Aloe munchii,Herbaceous Perennial,Average,"full sun, part sun/part shade"
724,aloe,Aloe rauhii,Herbaceous Perennial,Average,"full sun, part shade"
725,Yemen tree aloe,Aloe sabaea,Herbaceous Perennial,Minimum,full sun
726,coral aloe,Aloe striata,Herbaceous Perennial,Minimum,full sun
727,aloe,Aloe suzannae,Perennial,Minimum,"full sun, part sun/part shade"
728,aloe,Aloe vera,Herbaceous Perennial,Minimum,full sun
729,lemon verbena,Aloysia citriodora,Herbaceous Perennial,Average,full sun
730,sweet almond bush,Aloysia virgata,Herbaceous Perennial,Minimum,Full sun
731,siamese ginger,Alpinia galanga,Herbaceous Perennial,Average,"full sun, part shade"
732,ginger lily,Alpinia japonica,Herbaceous Perennial,Average,"full sun, part sun/part shade"
733,shellplant,Alpinia zerumbet,Herbaceous Perennial,Average,"Full sun, part shade"
734,shell ginger,Alpinia zerumbet 'Variegata',Herbaceous Perennial,Average,"part shade, part sun/part shade"
735,lily of the Incas,Alstroemeria aurea,Perennial,Average,"full sun, part shade"
736,lily of the Incas,Alstroemeria 'Casablanca',Perennial,Average,"full sun, part shade"
737,lily of the Incas,Alstroemeria 'Glory of the Andes',Perennial,Average,"full sun, part shade"
738,lily of the Incas,Alstroemeria isabellana,Herbaceous Perennial,Average,"full sun, part shade"
739,lily of the Incas,Alstroemeria 'Jupiter',Perennial,Average,"full sun, part shade"
740,lily of the Incas,Alstroemeria 'Koice' INCA ICE,Perennial,Average,"full sun, part shade"
741,inca lily,Alstroemeria ligtu subsp. incarnata,Annual,Average,"full sun, part shade"
742,lily of the Incas,Alstroemeria 'Pacific Sunset Dark Pink',Perennial,Average,"full sun, part shade"
743,lily of the Incas,Alstroemeria 'Sweet Laura',Perennial,Average,"full sun, part shade"
744,lily of the Incas,Alstroemeria 'The Third Harmonic',Perennial,Average,"full sun, part shade"
745,brazilian joyweed,Alternanthera brasiliana 'Purple Prince',Annual,Frequent,"full sun, part shade"
746,Joseph's coat,Alternanthera dentata,Herbaceous Perennial,Average,"full sun, part shade"
747,Joseph's coat,Alternanthera ficoidea,Herbaceous Perennial,Frequent,"full sun, part shade"
748,Joseph's coat,Alternanthera ficoidea (yellow form),Herbaceous Perennial,Average,"full sun, part shade"
749,marsh mallow,Althaea officinalis,Herbaceous Perennial,Frequent,full sun
750,yellowtuft,Alyssum murale,Herbaceous Perennial,Average,full sun
751,alyssum,Alyssum propinquum,Herbaceous Perennial,Frequent,Full sun
752,madwort,Alyssum wulfenianum 'Golden Spring',Herbaceous Perennial,Average,full sun
753,love-lies-bleeding,Amaranthus caudatus,Annual,Average,"full sun, part shade"
754,Joseph's coat,Amaranthus tricolor,Annual,Average,"full sun, part shade"
755,Joseph's coat,Amaranthus tricolor (vegetable group),Annual,Average,full sun
756,alder-leaved serviceberry,Amelanchier alnifolia 'Regent',Perennial,Average,full sun
757,dwarf serviceberry,Amelanchier alnifolia var. pumila,Perennial,Average,full sun
758,serviceberry,Amelanchier arborea,Perennial,Average,"full sun, part shade"
759,serviceberry,Amelanchier canadensis,Perennial,Average,"full sun, part sun/part shade"
760,serviceberry,Amelanchier canadensis 'Glenn Form' RAINBOW PILLAR,Perennial,Average,"full sun, part sun/part shade"
761,apple serviceberry,Amelanchier grandiflora 'Autumn Brilliance',Perennial,Frequent,"full sun, part shade"
762,apple serviceberry,Amelanchier grandiflora 'Princess Diana',Perennial,Average,"full sun, part shade"
763,Allegheny serviceberry,Amelanchier laevis,Perennial,Average,"full sun, part sun/part shade"
764,juneberry,Amelanchier lamarckii,Perennial,Average,"full sun, part shade"
765,Nantucket serviceberry,Amelanchier nantucketensis,Perennial,Average,"full sun, part shade"
766,coastal serviceberry,Amelanchier obovalis,Perennial,Average,"full sun, part shade"
767,running serviceberry,Amelanchier stolonifera,Perennial,Average,"Full sun, part shade"
768,lead plant,Amorpha canescens,Perennial,Average,full sun
769,false indigo,Amorpha fruticosa,Perennial,Average,full sun
770,Ouachita Mountain leadplant,Amorpha ouachitensis,Perennial,Average,"full sun, part shade"
771,Devil's tongue,Amorphophallus konjac,Perennial,Average,"part shade, part sun/part shade"
772,monkshood vine,Ampelopsis aconitifolia var. glabra,Perennial,Frequent,"full sun, part shade"
773,amur peppervine,Ampelopsis brevipedunculata,Perennial,Average,"full sun, part shade"
774,porcelain vine,Ampelopsis brevipedunculata var. maximowiczii 'Elegans',Perennial,Average,"full sun, part shade"
775,blue star,Amsonia 'Blue Ice',Herbaceous Perennial,Average,"full sun, part shade"
776,blue star,Amsonia ciliata,Herbaceous Perennial,Average,"full sun, part shade"
777,blue star,Amsonia ciliata 'Halfway to Arkansas',Herbaceous Perennial,Average,"full sun, part shade"
778,blue star,Amsonia ciliata var. filifolia,Herbaceous Perennial,Frequent,"full sun, part shade"
779,blue star,Amsonia ciliata var. filifolia 'Georgia Pancake',Herbaceous Perennial,Minimum,"full sun, part shade"
780,blue star,Amsonia hubrichtii,Herbaceous Perennial,Average,"full sun, part shade"
781,shining blue star,Amsonia illustris,Herbaceous Perennial,Minimum,"full sun, part shade"
782,blue star,Amsonia 'Midway to Montana',Herbaceous Perennial,Frequent,"full sun, part shade"
783,blue star,Amsonia 'Seaford Skies',Herbaceous Perennial,Average,"full sun, part shade"
784,blue star,Amsonia 'Starstruck',Herbaceous Perennial,Average,"full sun, part shade"
785,blue star,Amsonia tabernaemontana,Herbaceous Perennial,Average,"full sun, part shade"
786,blue star,Amsonia tabernaemontana 'Montana',Herbaceous Perennial,Average,"full sun, part shade"
787,dwarf blue star,Amsonia tabernaemontana 'Short Stack',Herbaceous Perennial,Average,"full sun, part shade"
788,blue star,Amsonia tabernaemontana 'Storm Cloud',Herbaceous Perennial,Frequent,"full sun, part shade"
789,blue star,Amsonia tabernaemontana var. salicifolia,Herbaceous Perennial,Average,"full sun, part shade"
790,blue pimpernel,Anagallis monelli,Herbaceous Perennial,Average,full sun
791,pineapple,Ananas comosus,Perennial,Frequent,full sun
792,pineapple,Ananas comosus 'Sugarloaf',Perennial,Frequent,full sun
793,variegated pineapple,Ananas comosus var. variegatus,Perennial,Frequent,part sun/part shade
794,pearly everlasting,Anaphalis margaritacea,Herbaceous Perennial,Frequent,"full sun, part sun/part shade"
795,pearly everlasting,Anaphalis triplinervis,Herbaceous Perennial,Frequent,"full sun, part shade"
796,blue bugloss,Anchusa azurea,Herbaceous Perennial,Frequent,"full sun, part shade"
797,blue bugloss,Anchusa azurea 'Dropmore',Herbaceous Perennial,Average,"full sun, part shade"
798,blue bugloss,Anchusa azurea 'Loddon Royalist',Herbaceous Perennial,Average,"full sun, part shade"
799,bluestem,Andropogon capillipes 'Valdosta Blue',Perennial,Frequent,"full sun, part shade"
800,big blue stem,Andropogon gerardii,Perennial,Average,"full sun, part sun/part shade"
801,big blue stem,Andropogon gerardii 'Blackhawks',Perennial,Average,"part sun/part shade, full sun"
802,big blue stem,Andropogon gerardii 'Dancing Wind',Perennial,Minimum,"full sun, part sun/part shade"
803,big blue stem,Andropogon gerardii 'Red October',Perennial,Minimum,"full sun, part sun/part shade"
804,bushy bluestem,Andropogon glomeratus,Perennial,Minimum,Full sun
805,Roundleaf Liverleaf,Anemone americana,Herbaceous Perennial,Frequent,part shade
806,windflower,Anemone blanda,Perennial,Average,"full sun, part shade"
807,windflower,Anemone blanda 'Blue Shades',Perennial,Average,"full sun, part shade"
808,windflower,Anemone blanda 'Blue Star',Perennial,Frequent,"full sun, part shade"
809,windflower,Anemone blanda 'White Splendour',Perennial,Average,"full sun, part shade"
810,windflower,Anemone canadensis,Herbaceous Perennial,Average,"full sun, part shade"
811,windflower,Anemone coronaria,Perennial,Average,"full sun, part shade"
812,windflower,Anemone cylindrica,Herbaceous Perennial,Average,"full sun, part sun/part shade"
813,Japanese thimbleweed,Anemone hupehensis,Herbaceous Perennial,Average,"full sun, part shade"
814,Japanese anemone,Anemone hupehensis 'Hadspen Abundance',Herbaceous Perennial,Average,"full sun, part shade"
815,Japanese anemone,Anemone hupehensis var. japonica 'Bodnant Burgundy',Herbaceous Perennial,Average,"full sun, part shade"
816,Japanese anemone,Anemone hupehensis var. japonica 'Pamina',Herbaceous Perennial,Frequent,"full sun, part shade"
817,Japanese anemone,Anemone hupehensis var. japonica 'Prinz Heinrich',Herbaceous Perennial,Average,"full sun, part shade"
818,windflower,Anemone hybrida 'Andrea Atkinson',Herbaceous Perennial,Average,"full sun, part shade"
819,windflower,Anemone hybrida 'Honorine Jobert',Herbaceous Perennial,Average,"full sun, part shade"
820,windflower,Anemone hybrida 'Königin Charlotte' QUEEN CHARLOTTE,Herbaceous Perennial,Average,"full sun, part shade"
821,windflower,Anemone hybrida 'Lady Gilmour',Herbaceous Perennial,Average,"full sun, part shade"
822,windflower,Anemone hybrida 'Pretty Lady Diana',Herbaceous Perennial,Average,"full sun, part shade"
823,Japanese anemone,Anemone hybrida 'September Charm',Herbaceous Perennial,Average,"full sun, part shade"
824,windflower,Anemone lesseri,Herbaceous Perennial,Average,part shade
825,windflower,Anemone narcissiflora,Herbaceous Perennial,Average,"Full sun, part shade"
826,wood anemone,Anemone nemorosa,Herbaceous Perennial,Average,"full sun, part shade"
827,wood anemone,Anemone nemorosa 'Blue Eyes',Herbaceous Perennial,Average,"full sun, part shade"
828,wood anemone,Anemone nemorosa 'Lychette',Herbaceous Perennial,Average,"full sun, part shade"
829,small-flowered anemone,Anemone parviflora,Herbaceous Perennial,Average,Partial Shade
830,Japanese anemone,Anemone 'Red Riding Hood',Herbaceous Perennial,Average,"Full sun, part shade"
831,snowdrop windflower,Anemone sylvestris,Herbaceous Perennial,Average,"full sun, part sun/part shade"
832,windflower,Anemone tomentosa,Herbaceous Perennial,Average,"full sun, part shade"
833,thimbleweed,Anemone virginiana,Herbaceous Perennial,Minimum,"Full sun, part shade"
834,dill,Anethum graveolens,Annual,Average,"full sun, part shade"
835,garden angelica,Angelica archangelica,Herbaceous Perennial,Frequent,"full sun, part shade"
836,masterwort,Angelica atropurpurea,Herbaceous Perennial,Frequent,"Full sun, part shade"
837,angelonia,Angelonia angustifolia,Herbaceous Perennial,Average,Full sun
838,angelonia,Angelonia angustifolia SERENA MIXTURE,Herbaceous Perennial,Average,Full sun
839,tall kangaroo paw,Anigozanthos flavidus,Herbaceous Perennial,Average,"Full sun, part shade"
840,kangaroo paw,Anigozanthos 'Joe Joe Red',Herbaceous Perennial,Average,full sun
841,Texas firecracker,Anisacanthus quadrifidus var. wrightii,Perennial,Average,full sun
842,soursop,Annona muricata,Perennial,Frequent,full sun
843,custard apple,Annona reticulata,Perennial,Average,"full sun, part shade"
844,anomatheca,Anomatheca laxa,Perennial,Average,Full sun
845,heartleaf madeiravine,Anredera cordifolia,Perennial,Average,"Full sun, part shade"
846,pussytoes,Antennaria dioica,Herbaceous Perennial,Minimum,Full sun
847,field pussytoes,Antennaria neglecta,Herbaceous Perennial,Minimum,"full sun, part shade"
848,pussy toes,Antennaria parlinii,Herbaceous Perennial,Minimum,"Full sun, part shade"
849,pussytoes,Antennaria plantaginifolia,Herbaceous Perennial,Minimum,"full sun, part shade"
850,golden chamomile,Anthemis tinctoria,Herbaceous Perennial,Frequent,full sun
851,golden chamomile,Anthemis tinctoria 'Charme',Herbaceous Perennial,Minimum,Full sun
852,Dyer's chamomile,Anthemis tinctoria 'Kelwayi',Herbaceous Perennial,Minimum,Full sun
853,golden marguerite,Anthemis tinctoria 'Moonlight',Herbaceous Perennial,Minimum,Full sun
854,St. Bernard's lily,Anthericum liliago,Herbaceous Perennial,Average,Full sun
855,anthurium,Anthurium andraeanum,Herbaceous Perennial,Average,part sun/part shade
856,anthurium,Anthurium crassinervium,Herbaceous Perennial,Frequent,"full sun, part shade"
857,coral vine,Antigonon leptopus,Perennial,Average,full sun
858,snapdragon,Antirrhinum 'Dulcinea's Heart',Herbaceous Perennial,Average,Full sun
859,snapdragon,Antirrhinum majus,Herbaceous Perennial,Average,Full sun
860,snapdragon,Antirrhinum majus SNAPTASTIC ORANGE FLAME,Herbaceous Perennial,Average,Full sun
861,zebra plant,Aphelandra squarrosa,Perennial,Average,"part shade, full shade"
862,celery,Apium graveolens var. dulce,Herbaceous Perennial,Average,"full sun, filtered shade"
863,celeriac,Apium graveolens var. rapaceum,Herbaceous Perennial,Average,"full sun, part shade"
864,celeriac,Apium graveolens var. rapaceum 'Diamant',Herbaceous Perennial,Average,"full sun, part shade"
865,Indian hemp,Apocynum cannabinum,Herbaceous Perennial,Minimum,Partial Shade
866,Cape pondweed,Aponogeton distachyos,Herbaceous Perennial,Frequent,"Full sun, part shade"
867,columbine,Aquilegia (Biedermeier Group),Herbaceous Perennial,Average,"Full sun, part shade"
868,columbine,Aquilegia 'Bunting',Herbaceous Perennial,Average,"Full sun, part shade"
869,columbine,Aquilegia caerulea,Herbaceous Perennial,Average,"Full sun, part shade"
870,columbine,Aquilegia caerulea 'Rotstern',Herbaceous Perennial,Average,"Full sun, part shade"
871,columbine,Aquilegia canadensis,Herbaceous Perennial,Minimum,"Sun,  Partial Shade"
872,columbine,Aquilegia canadensis 'Corbett',Herbaceous Perennial,Minimum,"Sun,  Partial Shade"
873,columbine,Aquilegia canadensis 'Little Lanterns',Herbaceous Perennial,Minimum,"Sun,  Partial Shade"
874,columbine,Aquilegia chrysantha var. hinckleyana,Herbaceous Perennial,Average,"Full sun, part shade"
875,columbine,Aquilegia chrysantha 'Yellow Queen',Herbaceous Perennial,Average,"Full sun, part shade"
876,columbine,Aquilegia 'Dove',Herbaceous Perennial,Average,"Full sun, part shade"
877,fan columbine,Aquilegia flabellata,Herbaceous Perennial,Average,"Full sun, part shade"
878,fan columbine,Aquilegia flabellata 'Ministar',Herbaceous Perennial,Average,"Full sun, part shade"
879,fan columbine,Aquilegia flabellata var. pumila,Herbaceous Perennial,Average,"Full sun, part shade"
880,fan columbine,Aquilegia flabellata var. pumila 'Alba',Herbaceous Perennial,Average,"Full sun, part shade"
881,columbine,Aquilegia flabellata var. pumila 'Rosea',Herbaceous Perennial,Average,"Full sun, part shade"
882,fan columbine,Aquilegia flabellata var. pumila 'Silver Edge',Herbaceous Perennial,Average,"Full sun, part shade"
883,sweet-scented columbine,Aquilegia fragrans,Herbaceous Perennial,Average,"Full sun, part shade"
884,columbine,Aquilegia glandulosa,Herbaceous Perennial,Average,"full sun, part shade"
885,columbine,Aquilegia (McKana Group),Herbaceous Perennial,Average,"Full sun, part shade"
886,columbine,Aquilegia 'Music Mix',Herbaceous Perennial,Average,"Full sun, part shade"
887,columbine,Aquilegia olympica,Herbaceous Perennial,Average,"Full sun, part shade"
888,columbine,Aquilegia 'Pagoda Blue and White',Herbaceous Perennial,Average,"Full sun, part shade"
889,columbine,Aquilegia 'Red Hobbit',Herbaceous Perennial,Average,"Full sun, part shade"
890,columbine,Aquilegia 'Remembrance',Herbaceous Perennial,Average,"full sun, part shade"
891,columbine,Aquilegia (Songbird Series) 'Cardinal',Herbaceous Perennial,Average,"Full sun, part shade"
892,columbine,Aquilegia 'Spezialrasse',Herbaceous Perennial,Average,"Full sun, part shade"
893,columbine,Aquilegia 'Swallowtail',Herbaceous Perennial,Average,"Full sun, part shade"
894,columbine,Aquilegia viridiflora,Herbaceous Perennial,Average,"Full sun, part shade"
895,columbine,Aquilegia viridiflora 'Chocolate Soldier',Herbaceous Perennial,Average,"Full sun, part shade"
896,columbine,Aquilegia vulgaris,Herbaceous Perennial,Average,full sun
897,columbine,Aquilegia vulgaris (Grandmother's Garden Group),Herbaceous Perennial,Average,Sun
898,columbine,Aquilegia vulgaris 'Plena',Herbaceous Perennial,Average,Sun
899,columbine,Aquilegia vulgaris var. flore-pleno 'Blue Bonnet',Herbaceous Perennial,Average,"part sun/part shade, full sun"
900,columbine,Aquilegia vulgaris var. flore-pleno 'Tower White',Herbaceous Perennial,Average,Sun
901,columbine,Aquilegia vulgaris var. stellata 'Ruby Port',Herbaceous Perennial,Average,Sun
902,columbine,Aquilegia vulgaris (Vervaeneana Group),Herbaceous Perennial,Average,Sun
903,columbine,Aquilegia vulgaris 'William Guiness',Herbaceous Perennial,Average,"full sun, part shade"
904,columbine,Aquilegia vulgaris 'Woodside Golden',Herbaceous Perennial,Average,Sun
905,columbine,Aquilegia 'Winky Blue and White',Herbaceous Perennial,Average,"Full sun, part shade"
906,mountain rockcress,Arabis alpina,Herbaceous Perennial,Minimum,Sun
907,mountain rockcress,Arabis alpina subsp. caucasica 'Schneehaube' SNOWCAP,Herbaceous Perennial,Minimum,Sun
908,garden rockcress,Arabis caucasica,Herbaceous Perennial,Minimum,"full sun, part shade"
909,peanut,Arachis hypogaea,Annual,Average,Full sun
910,arachnoides,Arachniodes simplicior 'Variegata',Perennial,Frequent,"Part shade, full shade"
911,Chinese angelica tree,Aralia chinensis,Perennial,Average,"Full sun, part shade"
912,Japanese spikenard,Aralia cordata,Herbaceous Perennial,Average,Part shade
913,Japanese spikenard,Aralia cordata 'Sun King',Herbaceous Perennial,Average,Part shade
914,American spikenard,Aralia racemosa,Herbaceous Perennial,Average,Partial sun Shade
