id,common_name,scientific_name,cycle,watering,sunlight
64,Inaba Shidare Cutleaf Japanese Maple,Acer palmatum 'Inaba Shidare',Perennial,Frequent,"full sun, part shade"
65,Inazuma Japanese Maple,Acer palmatum 'Inazuma',Perennial,Average,"full sun, part shade"
66,Jiro Shidare Japanese Maple,Acer palmatum 'Jiro Shidare',Perennial,Frequent,"full sun, part shade"
67,Kagiri Nishiki Japanese Maple,Acer palmatum 'Kagiri Nishiki',Perennial,Frequent,"full sun, part shade"
68,Kamagata Japanese Maple,Acer palmatum 'Kamagata',Perennial,Average,"full sun, part shade"
69,Kandy Kitchen Japanese Maple,Acer palmatum 'Kandy Kitchen',Perennial,Average,"full sun, part shade"
70,Karasu Gawa Japanese Maple*,Acer palmatum 'Karasu Gawa',Perennial,Average,"full sun, part shade"
71,Kasagi Yama Japanese Maple,Acer palmatum 'Kasagi Yama',Perennial,Average,"full sun, part shade"
72,Katsura Japanese Maple,Acer palmatum 'Katsura',Perennial,Average,"part shade, part sun/part shade"
73,Kiri Nishiki Japanese Maple,Acer palmatum 'Kiri Nishiki',Perennial,Frequent,"full sun, part sun/part shade"
74,Kiyohime Japanese Maple,Acer palmatum 'Kiyohime',Perennial,Frequent,"full sun, part shade"
75,Koshibori Nishiki Japanese Maple*,Acer palmatum 'Koshibori Nishiki',Perennial,Average,"full sun, part shade"
76,Koto No Ito Japanese Maple,Acer palmatum 'Koto No Ito',Perennial,Average,"filtered shade, full sun only if soil kept moist, part sun/part shade"
77,Linearilobum Japanese Maple,Acer palmatum 'Linearilobum',Perennial,Average,"full sun, part shade"
78,Margaret Bee Japanese Maple,Acer palmatum 'Margaret Bee',Perennial,Average,"part shade, part sun/part shade"
79,Mikawa Yatsubusa Japanese Maple,Acer palmatum 'Mikawa Yatsubusa',Perennial,Average,"part shade, part sun/part shade"
80,Mikazuki Japanese Maple,Acer palmatum 'Mikazuki',Perennial,Average,"full sun, part shade"
81,Moonfire Japanese Maple,Acer palmatum 'Moonfire',Perennial,Average,"part sun/part shade, full sun"
82,Nishiki Gawa Japanese Maple*,Acer palmatum 'Nishiki Gawa',Perennial,Average,full sun
83,Nuresagi Japanese Maple,Acer palmatum 'Nuresagi',Perennial,Frequent,"full sun, part shade"
84,Okagami Japanese Maple,Acer palmatum 'Okagami',Perennial,Average,"full sun, part shade"
85,Okushimo Japanese Maple,Acer palmatum 'Okushimo',Perennial,Average,"full sun, part shade"
86,Orange Dream Japanese Maple,Acer palmatum 'Orange Dream',Perennial,Average,"full sun, part shade"
87,Orangeola Cutleaf Japanese Maple,Acer palmatum 'Orangeola',Perennial,Average,"full sun, part shade"
88,Oregon Sunset Japanese Maple,Acer palmatum 'Oregon Sunset',Perennial,Average,"full sun, part shade"
89,Oridono Nishiki Japanese Maple*,Acer palmatum 'Oridono Nishiki',Perennial,Average,"full sun, part shade"
90,Ornatum Japanese Maple*,Acer palmatum 'Ornatum',Perennial,Average,"full sun, part shade"
91,Osakazuki Japanese Maple,Acer palmatum 'Osakazuki',Perennial,Average,"full sun, part shade"
92,Oshio Beni Japanese Maple,Acer palmatum 'Oshio Beni',Perennial,Average,"full sun, part shade"
93,Oshu Shidare Japanese Maple,Acer palmatum 'Oshu Shidare',Perennial,Frequent,"full sun, part shade"
94,Otake Japanese Maple,Acer palmatum 'Otake',Perennial,Frequent,"full sun, part shade"
95,Otome Zakura Japanese Maple*,Acer palmatum 'Otome Zakura',Perennial,Average,"full sun, part shade"
96,Palmatifidum Japanese Maple*,Acer palmatum 'Palmatifidum',Perennial,Average,"full sun, part shade"
97,Peaches And Cream Japanese Maple,Acer palmatum 'Peaches And Cream',Perennial,Frequent,"full sun, part shade"
98,Pendulum Julian Japanese Maple*,Acer palmatum 'Pendulum Julian',Perennial,Frequent,"full sun, part shade"
99,Pink Lace Japanese Maple*,Acer palmatum 'Pink Lace',Perennial,Frequent,full sun
100,Pixie Japanese Maple,Acer palmatum 'Pixie',Perennial,Average,"full sun, part shade"
101,Purple Ghost Japanese Maple*,Acer palmatum 'Purple Ghost',Perennial,Average,"full sun, part shade"
102,Red Dragon Japanese Maple,Acer palmatum 'Red Dragon',Perennial,Average,"full sun, part shade"
103,Red Feathers Japanese Maple*,Acer palmatum 'Red Feathers',Perennial,Average,"full sun, part shade"
104,Red Filigree Lace Japanese Maple,Acer palmatum 'Red Filigree Lace',Perennial,Average,"full sun, part shade"
105,Dwarf Red Pygmy Japanese Maple,Acer palmatum 'Red Pygmy',Perennial,Average,"full sun, part shade"
106,Red Select Japanese Maple*,Acer palmatum 'Red Select',Perennial,Frequent,"full sun, part shade"
107,Rhode Island Red Japanese Maple,Acer palmatum 'Rhode Island Red',Perennial,Average,"full sun, part shade"
108,Ruby Ridge Japanese Maple*,Acer palmatum 'Ruby Ridge',Perennial,Average,"full sun, part shade"
109,Ruby Stars Japanese Maple*,Acer palmatum 'Ruby Stars',Perennial,Average,"full sun, part shade"
110,Ruslyn In The Pink Japanese Maple,Acer palmatum 'Ruslyn In The Pink',Perennial,Frequent,"part sun/part shade, part shade"
111,Ryusen Japanese Maple,Acer palmatum 'Ryusen',Perennial,Average,"full sun, part shade"
112,Sagara Nishiki Japanese Maple,Acer palmatum 'Sagara Nishiki',Perennial,Average,"full sun, part shade"
113,Samurai Sword Japanese Maple,Acer palmatum 'Samarzam',Perennial,Average,"full sun, part shade"
114,Coral Bark Japanese Maple,Acer palmatum 'Sango Kaku',Perennial,Average,"full sun, part shade"
115,Sazanami Japanese Maple,Acer palmatum 'Sazanami',Perennial,Average,"full sun, part shade"
116,Scolopendrifolium Japanese Maple,Acer palmatum 'Scolopendrifolium',Perennial,Average,"full sun, part shade"
117,Seiryu Japanese Maple,Acer palmatum 'Seiryu',Perennial,Frequent,part sun/part shade
118,Shaina Japanese Maple,Acer palmatum 'Shaina',Perennial,Average,"full sun, part shade"
119,Sherwood Elfin Japanese Maple*,Acer palmatum 'Sherwood Elfin',Perennial,Average,"full sun, part shade"
120,Sherwood Flame Japanese Maple,Acer palmatum 'Sherwood Flame',Perennial,Average,"full sun, part shade"
121,Shindeshojo Japanese Maple,Acer palmatum 'Shindeshojo',Perennial,Average,"full sun, part shade"
122,Shinobuga Oka Japanese Maple*,Acer palmatum 'Shinobuga Oka',Perennial,Average,full sun
123,Lions Head Japanese Maple,Acer palmatum 'Shishigashira',Perennial,Average,"full sun, part shade"
124,Shishio Hime Japanese Maple*,Acer palmatum 'Shishio Hime',Perennial,Frequent,"full sun, part shade"
125,Spring Delight Japanese Maple,Acer palmatum 'Spring Delight',Perennial,Average,"full sun, part shade"
126,Suminagashi Japanese Maple,Acer palmatum 'Suminagashi',Perennial,Average,"full sun, part shade"
127,Tama Hime Japanese Maple,Acer palmatum 'Tama Hime',Perennial,Frequent,"full sun, part shade"
128,Tamukeyama Japanese Maple,Acer palmatum 'Tamukeyama',Perennial,Average,"full sun, part shade"
129,Tana Japanese Maple*,Acer palmatum 'Tana',Perennial,Average,"full sun, part shade"
130,Tobiosho Japanese Maple,Acer palmatum 'Tobiosho',Perennial,Frequent,"full sun, part shade"
131,Trompenburg Japanese Maple*,Acer palmatum 'Trompenburg',Perennial,Average,"full sun, part shade"
132,Tsukasa Silhouette Japanese Maple*,Acer palmatum 'Tsukasa Silhouette',Perennial,Average,"full sun, part shade"
133,Tsuma Gaki Japanese Maple,Acer palmatum 'Tsuma Gaki',Perennial,Frequent,"full sun, part shade"
134,Tsuri Nishiki Japanese Maple,Acer palmatum 'Tsuri Nishiki',Perennial,Average,"full sun, part shade"
135,Twombly's Red Sentinel Japanese Maple,Acer palmatum 'Twombly's Red Sentinel',Perennial,Average,"full sun, part shade"
136,Ueno Homare Japanese Maple,Acer palmatum 'Ueno Homare',Perennial,Frequent,"full sun, part shade"
137,Floating Cloud Japanese Maple,Acer palmatum 'Ukigumo',Perennial,Frequent,"full sun, part shade"
138,Utsu Semi Japanese Maple,Acer palmatum 'Utsu Semi',Perennial,Average,"full sun, part shade"
139,Villa Taranto Japanese Maple,Acer palmatum 'Villa Taranto',Perennial,Average,"full sun, part shade"
140,Wilson's Pink Dwarf Japanese Maple,Acer palmatum 'Wilson's Pink Dwarf',Perennial,Average,"full sun, part shade"
141,Emperor I Japanese Maple,Acer palmatum 'Wolff',Perennial,Average,"full sun, part shade"
142,Yellow Bird Japanese Maple,Acer palmatum 'Yellow Bird',Perennial,Average,"full sun, part shade"
143,Yubae Japanese Maple*,Acer palmatum 'Yubae',Perennial,Average,"full sun, part shade"
144,Moosewood,Acer pensylvanicum,Perennial,Average,"full sun, part shade"
145,Crimson King Norway Maple,Acer platanoides 'Crimson King',Perennial,Average,"part sun/part shade, full sun"
146,Crimson Sentry Norway Maple,Acer platanoides 'Crimson Sentry',Perennial,Average,"full sun, part sun/part shade"
147,Harlequin Norway Maple,Acer platanoides 'Drummondii',Perennial,Minimum,"full sun, part sun/part shade"
148,Emerald Queen Norway Maple,Acer platanoides 'Emerald Queen',Perennial,Average,"full sun, part sun/part shade"
149,Princeton Gold Maple,Acer platanoides 'Princeton Gold',Perennial,Average,"full sun, part sun/part shade"
150,Eskimo Sunset Sycamore Maple,Acer pseudoplatanus 'Eskimo Sunset',Perennial,Average,"full sun, part shade"
151,Nizetii Sycamore Maple,Acer pseudoplatanus 'Nizetii',Perennial,Average,"full sun, part shade"
152,Korean Maple,Acer pseudosieboldianum,Perennial,Average,"full sun, part shade"
153,Red Maple,Acer rubrum,Perennial,Average,full sun
154,Autumn Flame Red Maple,Acer rubrum 'Autumn Flame',Perennial,Frequent,"full sun, part shade"
155,Bowhall Red Maple,Acer rubrum 'Bowhall',Perennial,Average,"full sun, part shade"
156,Red Sunset® Red Maple,Acer rubrum 'Franksred',Perennial,Average,"full sun, part shade"
157,Commemoration Sugar Maple,Acer saccharum 'Commemoration',Perennial,Average,"full sun, part sun/part shade"
158,Green Mountain Sugar Maple,Acer saccharum 'Green Mountain',Perennial,Average,"full sun, part sun/part shade"
159,Legacy Sugar Maple,Acer saccharum 'Legacy',Perennial,Average,"part sun/part shade, full sun"
160,Golden Full Moon Maple,Acer shirasawanum 'Aureum',Perennial,Average,"Full sun, part shade"
161,Autumn Moon Full Moon Maple,Acer shirasawanum 'Autumn Moon',Perennial,Average,"full sun, part shade"
162,Moonrise Full Moon Maple,Acer shirasawanum 'Moonrise',Perennial,Frequent,"part shade, part sun/part shade"
163,Red Dawn Full Moon Maple,Acer shirasawanum 'Red Dawn',Perennial,Average,"full sun, part shade"
164,Yasemin Full Moon Maple,Acer shirasawanum 'Yasemin',Perennial,Average,"full sun, part shade"
165,Hot Wings Tatarian Maple,Acer tataricum 'GarAnn',Perennial,Average,"full sun, part shade"
166,Snakebark Maple,Acer tegmentosum,Perennial,Frequent,"part shade, part sun/part shade"
167,Joe Witt Snakebark Maple,Acer tegmentosum 'Joe Witt',Perennial,Average,"filtered shade, full sun, part sun/part shade"
168,White Tigress Maple,Acer tegmentosum 'White Tigress',Perennial,Average,"full sun, part sun/part shade"
169,Three Flowered Maple,Acer triflorum,Perennial,Average,"Full sun, part shade"
170,Armstrong Maple,Acer x freemanii 'Armstrong',Perennial,Average,full sun
171,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',Perennial,Average,full sun
172,Mimosa,Albizia julibrissin,Perennial,Average,full sun
173,Ombrella™ Mimosa,Albizia julibrissin 'Boubri',Perennial,Average,full sun
174,Summer Chocolate Mimosa,Albizia julibrissin 'Summer Chocolate',Perennial,Frequent,"full sun, part shade"
175,Autumn Brilliance Serviceberry,Amelanchier x grandiflora 'Autumn Brilliance',Perennial,Frequent,"full sun, part shade"
176,Autumn Brilliance Serviceberry,Amelanchier x grandiflora 'Autumn Brilliance (tree form)',Perennial,Frequent,"full sun, part shade"
177,Ballerina Serviceberry,Amelanchier x grandiflora 'Ballerina',Perennial,Frequent,"full sun, part shade"
178,Princess Diana Serviceberry,Amelanchier x grandiflora 'Princess Diana',Perennial,Average,"full sun, part shade"
179,Variegated Japanese Angelica Tree,Aralia elata 'Variegata',Perennial,Average,"full sun, part shade"
180,Monkey Puzzle Tree,Araucaria araucana,Perennial,Average,"full sun, part shade"
181,Marina Strawberry Tree,Arbutus 'Marina',Perennial,Frequent,"full sun, part shade"
182,Pacific Madrone*,Arbutus menziesii,Perennial,Minimum,sun
183,Strawberry Tree,Arbutus unedo,Perennial,Average,"full sun, part sun/part shade, sheltered"
184,Common Paw Paw,Asimina triloba,Perennial,Average,"full sun, part sun/part shade"
185,Crimson Frost Birch,Betula 'Crimson Frost',Perennial,Frequent,"full sun, part shade"
186,River Birch,Betula nigra,Perennial,Average,"full sun, part shade"
187,River Birch (clump),Betula nigra '(clump)',Perennial,Average,"full sun, part shade"
188,Summer Cascade Weeping River Birch,Betula nigra 'Summer Cascade',Perennial,Average,"Full sun, part shade"
189,Paper Birch,Betula papyrifera,Perennial,Average,"full sun, part shade"
190,Clump Paper Birch,Betula papyrifera '(clump)',Perennial,Average,"full sun, part shade"
191,Whitespire Birch,Betula populifolia 'Whitespire',Perennial,Average,"part sun/part shade, full sun"
192,Whitebark Himalayan Birch,Betula utilis 'var. jacquemontii',Perennial,Average,full sun
193,California Incense Cedar,Calocedrus decurrens,Perennial,Minimum,"full sun, part shade"
194,European Hornbeam,Carpinus betulus,Perennial,Average,"full sun, part shade"
195,Pyramidal European Hornbeam,Carpinus betulus 'Fastigiata',Perennial,Average,"full sun, part shade"
196,Frans Fontaine Hornbeam,Carpinus betulus 'Frans Fontaine',Perennial,Average,full sun
197,Weeping European Hornbeam,Carpinus betulus 'Pendula',Perennial,Average,"full sun, part sun/part shade"
198,Japanese Hornbeam,Carpinus japonica,Perennial,Average,"part shade, full shade"
199,Golden Catalpa,Catalpa bignonioides 'Aurea',Perennial,Average,"full sun, part shade"
200,Blue Atlas Cedar,Cedrus atlantica 'Glauca',Perennial,Average,"full sun, part shade"
201,Deodar Cedar,Cedrus deodara,Perennial,Average,full sun
202,Golden Deodar Cedar,Cedrus deodara 'Aurea',Perennial,Average,full sun
203,Bush's Electra Deodar Cedar,Cedrus deodara 'Bush's Electra',Perennial,Average,"full sun, part sun/part shade"
204,Electra Blue Deodar Cedar,Cedrus deodara 'Electra Blue',Perennial,Average,full sun
205,Karl Fuchs Deodar Cedar,Cedrus deodara 'Karl Fuchs',Perennial,Average,"full sun, part sun/part shade"
206,Kashmir Deodar Cedar,Cedrus deodara 'Kashmir',Perennial,Average,Full sun
207,Cedar of Lebanon,Cedrus libani,Perennial,Average,Full sun
208,Green Prince Cedar of Lebanon,Cedrus libani 'Green Prince',Perennial,Frequent,full sun
209,Weeping Cedar of Lebanon,Cedrus libani 'Pendula',Perennial,Average,full sun
210,Katsura Tree,Cercidiphyllum japonicum,Perennial,Average,"full sun, part shade"
211,Weeping Katsura Tree,Cercidiphyllum japonicum 'Pendulum',Perennial,Average,"full sun, part shade"
212,Red Fox Katsura Tree,Cercidiphyllum japonicum 'Rotfuchs',Perennial,Average,"full sun, part shade"
213,Eastern Redbud,Cercis canadensis,Perennial,Average,"full sun, part sun/part shade"
214,Eastern Redbud (tree form),Cercis canadensis '(tree form)',Perennial,Average,"full sun, part sun/part shade"
215,White Redbud,Cercis canadensis 'Alba',Perennial,Average,"full sun, part sun/part shade"
216,Appalachian Red Redbud,Cercis canadensis 'Appalachian Red',Perennial,Average,"full sun, part sun/part shade"
